time,ax,ay,az
2.051843840E-1,-1.947494507E0,9.530868530E0,2.742324829E0
2.076868250E-1,-1.942703247E0,9.514099121E0,2.756698608E0
2.101892670E-1,-1.942703247E0,9.482971191E0,2.778244019E0
2.126917080E-1,-1.937927246E0,9.473403931E0,2.715988159E0
2.151941500E-1,-1.957077026E0,9.514099121E0,2.720779419E0
2.176965910E-1,-1.952285767E0,9.497344971E0,2.704025269E0
2.201685150E-1,-1.947494507E0,9.463821411E0,2.677688599E0
2.226709560E-1,-1.940322876E0,9.480590820E0,2.692047119E0
2.252039150E-1,-1.923553467E0,9.449462891E0,2.625015259E0
2.277063570E-1,-1.882858276E0,9.480590820E0,2.598678589E0
2.302087980E-1,-1.904403687E0,9.475799561E0,2.641769409E0
2.327112400E-1,-1.925949097E0,9.485366821E0,2.648956299E0
2.352136810E-1,-1.894821167E0,9.497344971E0,2.615432739E0
2.377161220E-1,-1.940322876E0,9.459030151E0,2.648956299E0
2.402185640E-1,-1.992980957E0,9.447067261E0,2.596282959E0
2.427210050E-1,-1.973831177E0,9.451858521E0,2.572341919E0
2.452234470E-1,-1.961868286E0,9.451858521E0,2.581924438E0
2.477258880E-1,-1.925949097E0,9.451858521E0,2.615432739E0
2.502283290E-1,-1.942703247E0,9.415939331E0,2.641769409E0
2.527307710E-1,-1.925949097E0,9.420730591E0,2.596282959E0
2.552332120E-1,-1.942703247E0,9.415939331E0,2.598678589E0
2.577356540E-1,-1.957077026E0,9.384811401E0,2.613037109E0
2.602380950E-1,-1.892425537E0,9.456649780E0,2.665710449E0
2.627405360E-1,-1.909194946E0,9.432693481E0,2.646560669E0
2.652429780E-1,-1.923553467E0,9.384811401E0,2.689651489E0
2.677454190E-1,-1.935531616E0,9.375244141E0,2.706420898E0
2.702173430E-1,-1.923553467E0,9.427917480E0,2.744720459E0
2.727197840E-1,-1.940322876E0,9.437484741E0,2.785430908E0
2.752222260E-1,-1.947494507E0,9.463821411E0,2.692047119E0
2.777246670E-1,-1.952285767E0,9.466217041E0,2.692047119E0
2.802271090E-1,-1.904403687E0,9.447067261E0,2.682479858E0
2.827295500E-1,-1.892425537E0,9.480590820E0,2.632202148E0
2.852319910E-1,-1.890029907E0,9.482971191E0,2.548400879E0
2.877344330E-1,-1.851730347E0,9.471008301E0,2.586700439E0
2.902368740E-1,-1.846939087E0,9.468612671E0,2.567550659E0
2.927393160E-1,-1.863708496E0,9.540435791E0,2.613037109E0
2.952417570E-1,-1.904403687E0,9.502136230E0,2.574737549E0
2.977441990E-1,-1.902008057E0,9.485366821E0,2.601074219E0
3.002466400E-1,-1.858917236E0,9.514099121E0,2.641769409E0
3.027490810E-1,-1.885253906E0,9.511703491E0,2.644165039E0
3.052515230E-1,-1.911590576E0,9.487762451E0,2.632202148E0
3.077539640E-1,-1.923553467E0,9.480590820E0,2.648956299E0
3.102564060E-1,-1.916366577E0,9.442276001E0,2.680084229E0
3.127588470E-1,-1.870880127E0,9.437484741E0,2.668106079E0
3.152612880E-1,-1.863708496E0,9.444671631E0,2.699234009E0
3.177637300E-1,-1.846939087E0,9.403976440E0,2.639373779E0
3.202661710E-1,-1.897216797E0,9.372848511E0,2.553192139E0
3.227686130E-1,-1.973831177E0,9.401580811E0,2.572341919E0
3.252710540E-1,-2.004959106E0,9.420730591E0,2.498123169E0
3.278040130E-1,-2.045654297E0,9.459030151E0,2.459808350E0
3.303064540E-1,-2.105514526E0,9.511703491E0,2.409530640E0
3.328088960E-1,-2.131851196E0,9.506927490E0,2.404739380E0
3.353113370E-1,-2.160583496E0,9.600296021E0,2.320953369E0
3.378137790E-1,-2.174942017E0,9.629028320E0,2.270675659E0
3.403162200E-1,-2.191711426E0,9.629028320E0,2.218002319E0
3.428186610E-1,-2.263534546E0,9.617050171E0,2.285034180E0
3.453211030E-1,-2.203674316E0,9.669723511E0,2.292221069E0
3.478235440E-1,-2.203674316E0,9.696060181E0,2.308975220E0
3.503259860E-1,-2.225219727E0,9.712829590E0,2.354461670E0
3.528284270E-1,-2.151000977E0,9.655364990E0,2.474182129E0
3.553308680E-1,-2.105514526E0,9.686492920E0,2.483749390E0
3.578333100E-1,-2.045654297E0,9.698455811E0,2.531646729E0
3.603357510E-1,-1.985809326E0,9.650573730E0,2.636978149E0
3.628381930E-1,-2.007354736E0,9.633819580E0,2.526855469E0
3.653406340E-1,-1.933135986E0,9.648178101E0,2.402359009E0
3.678430750E-1,-1.923553467E0,9.731979370E0,2.380798340E0
3.703455170E-1,-1.882858276E0,9.751129150E0,2.342498779E0
3.728479580E-1,-1.830184937E0,9.715209961E0,2.352081299E0
3.753198820E-1,-1.777511597E0,9.748733521E0,2.402359009E0
3.778223240E-1,-1.827789307E0,9.748733521E0,2.435867310E0
3.803247650E-1,-1.777511597E0,9.789443970E0,2.433471680E0
3.828272060E-1,-1.753570557E0,9.820556641E0,2.459808350E0
3.853296480E-1,-1.722442627E0,9.791824341E0,2.455032349E0
3.878320890E-1,-1.722442627E0,9.796615601E0,2.478973389E0
3.903345310E-1,-1.679351807E0,9.796615601E0,2.481353760E0
3.928369720E-1,-1.653015137E0,9.703247070E0,2.404739380E0
3.953394130E-1,-1.681747437E0,9.674514771E0,2.404739380E0
3.978418550E-1,-1.696105957E0,9.672119141E0,2.438262939E0
4.003442960E-1,-1.688919067E0,9.643386841E0,2.316162109E0
4.028467380E-1,-1.746383667E0,9.662536621E0,2.323348999E0
4.053491790E-1,-1.806243896E0,9.617050171E0,2.256301880E0
4.078516200E-1,-1.777511597E0,9.578750610E0,2.213211060E0
4.103540620E-1,-1.765533447E0,9.585922241E0,2.203628540E0
4.128565030E-1,-1.727233887E0,9.607482910E0,2.196456909E0
4.153589450E-1,-1.691314697E0,9.602691650E0,2.206024170E0
4.178613860E-1,-1.691314697E0,9.569168091E0,2.165328979E0
4.203638270E-1,-1.669769287E0,9.550018311E0,2.184478760E0
4.228662690E-1,-1.645828247E0,9.566772461E0,2.261093140E0
4.253687100E-1,-1.645828247E0,9.571563721E0,2.253906250E0
4.278711520E-1,-1.676956177E0,9.650573730E0,2.215606689E0
4.303735930E-1,-1.727233887E0,9.696060181E0,2.136596680E0
4.328760340E-1,-1.811035156E0,9.810989380E0,2.038436890E0
4.353784760E-1,-1.842147827E0,9.921112061E0,2.004913330E0
4.378809170E-1,-1.887649536E0,1.000251770E1,1.894775391E0
4.403833590E-1,-1.894821167E0,1.011984253E1,1.846893311E0
4.428858000E-1,-1.911590576E0,1.012940979E1,1.791824341E0
4.453882410E-1,-1.945098877E0,1.018208313E1,1.753524780E0
4.478906830E-1,-1.964263916E0,1.020841980E1,1.832534790E0
4.503931240E-1,-1.997772217E0,1.019645691E1,1.837326050E0
4.528955660E-1,-2.004959106E0,1.020362854E1,1.868438721E0
4.553674900E-1,-1.954681396E0,1.020123291E1,1.906753540E0
4.578699310E-1,-1.923553467E0,1.014617920E1,1.899566650E0
4.603723720E-1,-1.856521606E0,1.015335083E1,1.933090210E0
4.628748140E-1,-1.784698486E0,1.012461853E1,1.899566650E0
4.653772550E-1,-1.741592407E0,1.008631897E1,1.933090210E0
4.678796970E-1,-1.710464478E0,9.997726440E0,1.952239990E0
4.703821380E-1,-1.662582397E0,9.916336060E0,1.992950439E0
4.728845790E-1,-1.645828247E0,9.868438721E0,2.103073120E0
4.753870210E-1,-1.614700317E0,9.775070190E0,2.220397949E0
4.778894620E-1,-1.583572388E0,9.676910400E0,2.273071289E0
4.803919040E-1,-1.552459717E0,9.554809570E0,2.304183960E0
4.828943450E-1,-1.566818237E0,9.492553711E0,2.282638550E0
4.853967860E-1,-1.540481567E0,9.485366821E0,2.198852539E0
4.878992280E-1,-1.471054077E0,9.394393921E0,2.196456909E0
4.904016690E-1,-1.475845337E0,9.327362061E0,2.138992310E0
4.929041110E-1,-1.492599487E0,9.298629761E0,2.045623779E0
4.954065520E-1,-1.483016968E0,9.253128052E0,2.002517700E0
4.979089930E-1,-1.468658447E0,9.253128052E0,2.000122070E0
5.004114350E-1,-1.466262817E0,9.260314941E0,2.062377930E0
5.029138760E-1,-1.538085938E0,9.265106201E0,1.995330811E0
5.054163180E-1,-1.617095947E0,9.279464722E0,1.966613770E0
5.079187590E-1,-1.662582397E0,9.327362061E0,2.000122070E0
5.104212000E-1,-1.688919067E0,9.312988281E0,1.952239990E0
5.129236420E-1,-1.698501587E0,9.358474731E0,1.961822510E0
5.154260830E-1,-1.691314697E0,9.348907471E0,2.040832520E0
5.179285250E-1,-1.729629517E0,9.375244141E0,2.057586670E0
5.204309660E-1,-1.717651367E0,9.372848511E0,2.081527710E0
5.229028900E-1,-1.727233887E0,9.353698730E0,2.055191040E0
5.254053310E-1,-1.679351807E0,9.399185181E0,2.031250000E0
5.279077730E-1,-1.705688477E0,9.415939331E0,2.014495850E0
5.304102140E-1,-1.703292847E0,9.401580811E0,2.012100220E0
5.329126560E-1,-1.660186768E0,9.437484741E0,1.945053101E0
5.354150970E-1,-1.643432617E0,9.423126221E0,1.976181030E0
5.379175380E-1,-1.664978027E0,9.432693481E0,2.009704590E0
5.404199800E-1,-1.619491577E0,9.509307861E0,2.000122070E0
5.429224210E-1,-1.669769287E0,9.492553711E0,1.949844360E0
5.454248630E-1,-1.679351807E0,9.447067261E0,1.959426880E0
5.479273040E-1,-1.674560547E0,9.439880371E0,1.935485840E0
5.504297450E-1,-1.621887207E0,9.485366821E0,2.033645630E0
5.529321870E-1,-1.566818237E0,9.502136230E0,2.124618530E0
5.554346280E-1,-1.468658447E0,9.478195190E0,2.177291870E0
5.579370700E-1,-1.384857178E0,9.528472900E0,2.320953369E0
5.604395110E-1,-1.315429688E0,9.516494751E0,2.335311890E0
5.629419520E-1,-1.317825317E0,9.516494751E0,2.277847290E0
5.654443940E-1,-1.325012207E0,9.471008301E0,2.206024170E0
5.679468350E-1,-1.346557617E0,9.461425781E0,2.031250000E0
5.704492770E-1,-1.437530518E0,9.466217041E0,1.856475830E0
5.729517180E-1,-1.454299927E0,9.391998291E0,1.846893311E0
5.754541590E-1,-1.526123047E0,9.356079102E0,1.889999390E0
5.779566010E-1,-1.540481567E0,9.301025391E0,1.870834351E0
5.804590420E-1,-1.550064087E0,9.260314941E0,1.858871460E0
5.829614840E-1,-1.456680298E0,9.224411011E0,1.913940430E0
5.854639250E-1,-1.471054077E0,9.186096191E0,1.971389771E0
5.879663660E-1,-1.494995117E0,9.226806641E0,1.870834351E0
5.904688080E-1,-1.528518677E0,9.281860352E0,1.763107300E0
5.929712490E-1,-1.509353638E0,9.296234131E0,1.746337891E0
5.954736910E-1,-1.483016968E0,9.341720581E0,1.727188110E0
5.979761320E-1,-1.439926147E0,9.425521851E0,1.724792480E0
6.004785740E-1,-1.382461548E0,9.504531860E0,1.722396851E0
6.029810150E-1,-1.303451538E0,9.585922241E0,1.777465820E0
